Order_ID,Order_Date,Region,Country,Product_Category,Product_Name,Customer_Segment,Sales,Profit,Discount,Quantity,Ship_Mode,Customer_ID
1001,2023-01-05,West,USA,Technology,Laptop Pro X1,Corporate,1299.99,389.99,0.05,2,Standard Class,CUST-001
1002,2023-01-08,East,USA,Furniture,Executive Chair,Consumer,549.50,82.42,0.10,1,Second Class,CUST-002
1003,2023-01-10,Central,USA,Office Supplies,Stapler Pack,Home Office,24.99,7.50,0.00,5,First Class,CUST-003
1004,2023-01-12,West,USA,Technology,Wireless Mouse,Consumer,45.99,13.80,0.05,3,Standard Class,CUST-004
1005,2023-01-15,South,USA,Furniture,Standing Desk,Corporate,899.00,134.85,0.15,1,Second Class,CUST-005
1006,2023-01-18,East,USA,Office Supplies,Printer Paper,Consumer,39.99,11.99,0.00,10,Standard Class,CUST-006
1007,2023-01-20,West,USA,Technology,Monitor 27",Corporate,429.99,128.99,0.05,2,First Class,CUST-007
1008,2023-01-22,Central,USA,Furniture,Bookshelf,Consumer,189.99,28.50,0.10,1,Standard Class,CUST-008
1009,2023-01-25,South,USA,Technology,Keyboard Mech,Home Office,149.99,44.99,0.00,1,Standard Class,CUST-009
1010,2023-01-28,East,USA,Office Supplies,Whiteboard,Corporate,89.99,26.99,0.05,2,Second Class,CUST-010
1011,2023-02-02,West,USA,Technology,iPad Pro,Consumer,799.99,239.99,0.10,1,First Class,CUST-011
1012,2023-02-05,Central,USA,Furniture,Coffee Table,Home Office,299.99,44.99,0.05,1,Standard Class,CUST-012
1013,2023-02-08,South,USA,Office Supplies,Desk Lamp,Consumer,34.99,10.49,0.00,3,Standard Class,CUST-013
1014,2023-02-10,East,USA,Technology,Webcam HD,Corporate,79.99,23.99,0.05,4,Second Class,CUST-014
1015,2023-02-12,West,USA,Furniture,File Cabinet,Consumer,249.99,37.50,0.10,1,First Class,CUST-015
1016,2023-02-15,Central,USA,Technology,USB Hub,Home Office,29.99,9.00,0.00,5,Standard Class,CUST-016
1017,2023-02-18,South,USA,Office Supplies,Pen Set,Consumer,14.99,4.49,0.00,8,Standard Class,CUST-017
1018,2023-02-20,East,USA,Technology,SSD Drive 1TB,Corporate,109.99,32.99,0.05,3,First Class,CUST-018
1019,2023-02-22,West,USA,Furniture,Desk Chair,Consumer,379.99,56.99,0.15,1,Second Class,CUST-019
1020,2023-02-25,Central,USA,Technology,Headphones BT,Home Office,199.99,59.99,0.10,2,Standard Class,CUST-020
1021,2023-03-02,South,USA,Office Supplies,Sticky Notes,Consumer,9.99,3.00,0.00,15,Standard Class,CUST-021
1022,2023-03-05,East,USA,Technology,Smart Watch,Corporate,349.99,104.99,0.05,1,First Class,CUST-022
1023,2023-03-08,West,USA,Furniture,Sofa Set,Consumer,1499.99,224.99,0.20,1,Second Class,CUST-023
1024,2023-03-10,Central,USA,Office Supplies,Staples Box,Home Office,4.99,1.49,0.00,20,Standard Class,CUST-024
1025,2023-03-12,South,USA,Technology,Router WiFi6,Corporate,199.99,59.99,0.05,2,First Class,CUST-025
1026,2023-03-15,East,USA,Furniture,Wall Shelf,Consumer,79.99,12.00,0.10,3,Standard Class,CUST-026
1027,2023-03-18,West,USA,Technology,Tablet 10",Home Office,299.99,89.99,0.05,1,Second Class,CUST-027
1028,2023-03-20,Central,USA,Office Supplies,Scissors Set,Consumer,12.99,3.89,0.00,6,Standard Class,CUST-028
1029,2023-03-22,South,USA,Technology,Laptop Stand,Corporate,49.99,14.99,0.00,4,First Class,CUST-029
1030,2023-03-25,East,USA,Furniture,Dining Table,Consumer,699.99,104.99,0.15,1,Second Class,CUST-030
1031,2023-04-02,West,USA,Technology,Power Bank,Home Office,39.99,12.00,0.00,5,Standard Class,CUST-031
1032,2023-04-05,Central,USA,Office Supplies,Binder Pack,Consumer,19.99,6.00,0.00,10,Standard Class,CUST-032
1033,2023-04-08,South,USA,Technology,Camera DSLR,Corporate,1199.99,359.99,0.10,1,First Class,CUST-033
1034,2023-04-10,East,USA,Furniture,TV Stand,Consumer,189.99,28.50,0.05,1,Second Class,CUST-034
1035,2023-04-12,West,USA,Technology,Drone Mini,Home Office,299.99,89.99,0.15,1,Standard Class,CUST-035
1036,2023-04-15,Central,USA,Office Supplies,Calculator,Consumer,14.99,4.49,0.00,7,Standard Class,CUST-036
1037,2023-04-18,South,USA,Technology,NVMe SSD,Corporate,79.99,23.99,0.05,3,First Class,CUST-037
1038,2023-04-20,East,USA,Furniture,Wardrobe,Consumer,549.99,82.50,0.20,1,Second Class,CUST-038
1039,2023-04-22,West,USA,Technology,AirPods Pro,Home Office,249.99,74.99,0.10,2,Standard Class,CUST-039
1040,2023-04-25,Central,USA,Office Supplies,Tape Dispenser,Consumer,7.99,2.40,0.00,12,Standard Class,CUST-040
1041,2023-05-02,South,USA,Technology,Gaming PC,Corporate,2499.99,749.99,0.05,1,First Class,CUST-041
1042,2023-05-05,East,USA,Furniture,Bed Frame,Consumer,799.99,120.00,0.15,1,Second Class,CUST-042
